taxon_id,organism,taxonomy_name,source_clade,source_clade_taxon_id,species_category,category_basis_taxon_id,taxonomy_release,source_url,audited_on
111125,Ranitomeya imitator,Ranitomeya imitator,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/111125,2026-09-03
113540,Scleropages formosus,Scleropages formosus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/113540,2026-09-03
118200,Dryobates pubescens,Dryobates pubescens,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/118200,2026-09-03
126716,Chroicocephalus scopulinus,Chroicocephalus scopulinus,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/126716,2026-09-03
128390,Nipponia nippon,Nipponia nippon,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/128390,2026-09-03
129467,Micrurus lemniscatus lemniscatus,Micrurus lemniscatus lemniscatus,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/129467,2026-09-03
132908,Pteropus vampyrus,Pteropus vampyrus,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/132908,2026-09-03
137246,Chiloscyllium punctatum,Chiloscyllium punctatum,Chondrichthyes,7777,fish,7777,2026_03,https://rest.uniprot.org/taxonomy/137246,2026-09-03
141262,Andrias davidianus,Andrias davidianus,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/141262,2026-09-03
144197,Stegastes partitus,Stegastes partitus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/144197,2026-09-03
146911,Gekko japonicus,Gekko japonicus,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/146911,2026-09-03
156563,Cyanistes caeruleus,Cyanistes caeruleus,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/156563,2026-09-03
158456,Betta splendens,Betta splendens,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/158456,2026-09-03
170824,Pseudobatos productus,Pseudobatos productus,Chondrichthyes,7777,fish,7777,2026_03,https://rest.uniprot.org/taxonomy/170824,2026-09-03
171643,Phrynocephalus forsythii,Phrynocephalus forsythii,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/171643,2026-09-03
173247,Echeneis naucrates,Echeneis naucrates,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/173247,2026-09-03
173339,Trachinotus ovatus,Trachinotus ovatus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/173339,2026-09-03
176946,Python bivittatus,Python bivittatus,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/176946,2026-09-03
181472,Salarias fasciatus,Salarias fasciatus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/181472,2026-09-03
181631,Cyanoderma ruficeps,Cyanoderma ruficeps,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/181631,2026-09-03
